1,respect…,…を尊重する,0
2,will,意志,0
3,individual,個人,0
4,Take it easy.,気楽にやれ,1
5,assure A (that) ～,Aに～を確約する（保証する）,1
6,turn out (to be)…,…という結果になる,1
7,let go of …/let … go,…を離す、…を捨てる,1
8,negative,悲観的な,0
9,outlook,見方（態度）,0
10,maintain…,…を維持する,0
11,positive,積極的な、前向きな,0
12,attitude(to/toward…),(～に対する)態度,0
13,fair,公平な,0
14,regardless of･･･,･･･に関わらず,1
15,national,国の･･･、国内の･･･,0
16,origin,起源、生まれ,0
17,gender,性別,0
18,creed,信条,0
19,equality,平等,0
20,guarantee ・・・,･･･を保証する、･･･を約束する,1
21,constitution,憲法,0
22,lean (・・・),･･･に寄りかかる,1
23,pillar,柱、支柱,0
24,gaze (at・・・),･･･をじっと見つめる,1
25,statue,彫刻,0
26,liberty,自由,0
27,pass by (･･･),･･･のそばを通りすぎる,1
28,give off･･･,･･･を発する,1
29,subtle,かすかな,0
30,scent,香り,0
31,perfume,香水,0
32,remind A of B,AにBを思い出させる,1
33,ex-･･･,前の･･･,0
34,smell (・・・),･･･なにおいがする,1
35,awful,ひどい,0
36,taste･･･,･･・な味がする,0
37,terrific,すばらしい,0
38,soaked,びしょ濡れの,0
39,sweat,汗,0
40,stand back,後ろに下がる,1
41,stink,悪臭がする、臭い,0
42,take a shower,シャワーを浴びる,1
43,be beside oneself (with・・・),(・・・で)ひどく興奮する、取り乱す,1
44,scarcely,ほどんど(～し)ない,0
45,tell A from B,AとBを区別する,1
46,fact,現実,0
47,fiction,作り話、虚構,0
48,novel,小説,0
49,combine A with(and） B,AとBを組み合わせる,1
50,prose,散文,0
51,gift,才能、贈り物,0
52,poetry,詩,0
53,publish ・・・,･･･を出版する,1
54,up-to-date･･･,最新の･･･,0
55,edition,版,0
56,encyclopedia,百科事典,0
57,come out,発売される、出版される,1
58,translate (･･･)(from A into B),(･･･を)(AからBに)翻訳する,1
59,fascinating,魅了する,0
60,fairy,妖精,0
61,fairy tale,おとぎ話,1
62,plain,平易な,0
63,following,以下の･･･,0
64,passage,一説,0
65,quote (・・・),(･･･を)引用する,1
66,well-known,有名な,0
67,fable,寓話,0
68,be familiar with ･･･,･･･をよく知っている,1
69,contemporary,現代の,0
70,literature,文学,0
71,next to･･･,ほとんど･･･,1
72,at times,たまに、時々,1
73,confuse A with(and) B,AとBを混同する,1
74,curve,曲線,0
75,carve (・・・),･･･を彫る,1
76,shy,はずかしがりの,0
77,pronunciation,発音,0
78,more or less,だいたい,1
79,correct,正しい,0
80,article,記事,0
81,contain ・・・,･･･を含んでいる,1
82,tip,役に立つ情報,0
83,ｔhose who～,～というひとたち,1
84,be eager to ･･･,しきりに･･･したがっている,1
85,increase (・・・),･･･を増やす,1
86,vocabulary,語彙,0
87,latest,最新の,0
